acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
1,prac,1,1,,-302,-222,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,-192,74246.79999995232,CFD-BM-204-003-N.jpg,Sam,64,O,1,2969,,2969,,,1,1,3998.1999999284744,-416,-256,70248.60000002384,7001,FN,A,,55694,,,1,192,-320,-224
2,prac,1,1,,300,-1,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,32,76912.69999992847,CFD-WM-012-001-N.jpg,John,64,O,1,1642,,1642,,,2,1,2662.5999999046326,224,-32,74250.10000002384,7001,FN,A,,59693,,,2,192,320,0
3,prac,1,1,,-300,222,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,256,79045.39999997616,CFD-LF-249-132-N.jpg,Tina,64,O,1,1104,,1104,,,3,1,2130.5,-416,192,76914.89999997616,7001,FN,A,,62358,,,3,192,-320,224
3,prac,1,0,,-300,222,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,-192,83078.0,CFD-BM-204-003-N.jpg,Sam,64,O,None,3016,,3016,,,4,1,4030.3000000715256,224,-256,79047.69999992847,7001,FN,A,,64491,,,4,192,320,-224
4,prac,1,1,,-302,6,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,32,87126.10000002384,CFD-WM-012-001-N.jpg,John,64,O,1,995,,995,,,5,1,2011.9000000953674,-416,-32,85114.19999992847,7001,FN,A,,70556,,,5,192,-320,0
5,prac,1,1,,314,239,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,256,88975.60000002384,CFD-LF-249-132-N.jpg,Tina,64,O,1,819,,819,,,6,1,1847.8000000715256,224,192,87127.79999995232,7001,FN,A,,72572,,,6,192,320,224
1,prac_test,1,1,m,314,239,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,256,114350.89999997616,CFD-WM-012-001-N.jpg,Sam,64,O,m,1559,,,1559,,1,1,3333.600000023842,224,192,111017.29999995232,7001,FN,A,,,96448,,1,192,320,224
2,prac_test,1,1,m,314,239,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,256,116950.19999992847,CFD-BM-204-003-N.jpg,John,64,O,m,803,,,803,,2,1,2590.0999999046326,224,192,114360.10000002384,7001,FN,A,,,99796,,2,192,320,224
3,prac_test,1,1,z,314,239,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,256,119499.19999992847,CFD-LF-249-132-N.jpg,Tina,64,O,z,755,,,755,,3,1,2545.6999999284744,224,192,116953.5,7001,FN,A,,,102396,,3,192,320,224
1,learn,1,1,,334,227,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,256,157254.10000002384,CFD-LM-207-004-N.jpg,Jack,64,O,1,1770,1770,,,,36,1,2797.600000023842,224,192,154456.5,7001,FN,A,139901,,,,1,192,320,224
2,learn,1,1,,-302,0,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,32,159303.39999997616,CFD-WF-206-147-N.jpg,Rachel,64,O,1,1019,1019,,,,32,1,2046.8999999761581,-416,-32,157256.5,7001,FN,A,142700,,,,2,192,-320,0
3,learn,1,1,,306,-229,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,-192,161286.0,CFD-BF-241-222-N.jpg,Lucy,64,O,1,954,954,,,,16,1,1980.6000000238419,224,-256,159305.39999997616,7001,FN,A,144749,,,,3,192,320,-224
4,learn,1,1,,283,-224,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,-192,163252.10000002384,CFD-BM-202-063-N.jpg,George,64,O,1,939,939,,,,4,1,1963.8000000715256,224,-256,161288.29999995232,7001,FN,A,146732,,,,4,192,320,-224
5,learn,1,1,,-289,229,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,256,165251.60000002384,CFD-LM-200-045-N.jpg,Peter,64,O,1,981,981,,,,33,1,1997.6000000238419,-416,192,163254.0,7001,FN,A,148698,,,,5,192,-320,224
6,learn,1,1,,-283,-226,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,-192,167350.89999997616,CFD-WF-206-147-N.jpg,Rachel,64,O,1,1070,1070,,,,31,1,2097.2999999523163,-416,-256,165253.60000002384,7001,FN,A,150697,,,,6,192,-320,-224
7,learn,1,1,,-322,8,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,32,169283.69999992847,CFD-WM-207-048-N.jpg,Chris,64,O,1,914,914,,,,20,1,1930.5,-416,-32,167353.19999992847,7001,FN,A,152797,,,,7,192,-320,0
8,learn,1,1,,-297,-227,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,-192,171216.5,CFD-WM-207-048-N.jpg,Chris,64,O,1,901,901,,,,19,1,1931.0,-416,-256,169285.5,7001,FN,A,154730,,,,8,192,-320,-224
9,learn,1,1,,-316,241,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,256,173215.89999997616,CFD-BM-202-063-N.jpg,George,64,O,1,977,977,,,,3,1,1997.6000000238419,-416,192,171218.29999995232,7001,FN,A,156662,,,,9,192,-320,224
10,learn,1,1,,346,-225,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,-192,175048.60000002384,CFD-LM-225-130-N.jpg,Robert,64,O,1,802,802,,,,40,1,1830.6000000238419,224,-256,173218.0,7001,FN,A,158661,,,,10,192,320,-224
11,learn,1,1,,-287,230,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,256,176981.19999992847,CFD-LM-225-130-N.jpg,Robert,64,O,1,913,913,,,,39,1,1931.0999999046326,-416,192,175050.10000002384,7001,FN,A,160494,,,,11,192,-320,224
12,learn,1,1,,332,214,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,256,178864.19999992847,CFD-LF-255-088-N.jpg,Helen,64,O,1,860,860,,,,48,1,1880.7999999523163,224,192,176983.39999997616,7001,FN,A,162427,,,,12,192,320,224
13,learn,1,1,,-319,-240,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,-192,180930.0,CFD-LF-226-174-N.jpg,Cindy,64,O,1,1041,1041,,,,43,1,2063.8000000715256,-416,-256,178866.19999992847,7001,FN,A,164309,,,,13,192,-320,-224
14,learn,1,1,,-331,19,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,32,182829.39999997616,CFD-BM-207-024-N.jpg,David,64,O,1,879,879,,,,8,1,1897.2000000476837,-416,-32,180932.19999992847,7001,FN,A,166376,,,,14,192,-320,0
15,learn,1,1,,-319,225,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,256,185028.60000002384,CFD-LF-254-125-N.jpg,Irene,64,O,1,1172,1172,,,,45,1,2197.3000000715256,-416,192,182831.29999995232,7001,FN,A,168275,,,,15,192,-320,224
16,learn,1,1,,-320,-214,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,-192,186961.39999997616,CFD-BF-221-223-N.jpg,Emily,64,O,1,909,909,,,,13,1,1930.7999999523163,-416,-256,185030.60000002384,7001,FN,A,170474,,,,16,192,-320,-224
17,learn,1,1,,-310,-229,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,-192,188927.39999997616,CFD-BM-200-046-N.jpg,Mark,64,O,1,936,936,,,,1,1,1964.3999999761581,-416,-256,186963.0,7001,FN,A,172407,,,,17,192,-320,-224
18,learn,1,1,,324,5,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,32,190976.79999995232,CFD-WM-205-007-N.jpg,Paul,64,O,1,1026,1026,,,,17,1,2047.6999999284744,224,-32,188929.10000002384,7001,FN,A,174373,,,,18,192,320,0
19,learn,1,1,,-251,-230,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,-192,192876.19999992847,CFD-WF-200-099-N.jpg,Julie,64,O,1,872,872,,,,25,1,1897.5999999046326,-416,-256,190978.60000002384,7001,FN,A,176423,,,,19,192,-320,-224
20,learn,1,1,,323,235,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,256,194892.19999992847,CFD-WF-205-006-N.jpg,Nichole,64,O,1,989,989,,,,30,1,2013.8999999761581,224,192,192878.29999995232,7001,FN,A,178322,,,,20,192,320,224
21,learn,1,1,,331,-222,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,-192,196808.29999995232,CFD-WM-209-038-N.jpg,Carl,64,O,1,885,885,,,,22,1,1914.2999999523163,224,-256,194894.0,7001,FN,A,180338,,,,21,192,320,-224
22,learn,1,1,,-347,-9,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),-224,32,198924.29999995232,CFD-BF-221-223-N.jpg,Emily,64,O,1,1089,1089,,,,14,1,2114.399999976158,-416,-32,196809.89999997616,7001,FN,A,182254,,,,22,192,-320,0
23,learn,1,1,,309,-14,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,32,200957.19999992847,CFD-WM-212-097-N.jpg,Mike,64,O,1,1005,1005,,,,23,1,2031.0,224,-32,198926.19999992847,7001,FN,A,184370,,,,23,192,320,0
24,learn,1,1,,288,-232,Thu Sep 05 2024 14:41:15 GMT-0500 (Central Daylight Time),416,-192,202722.79999995232,CFD-LM-200-045-N.jpg,Peter,64,O,1,748,748,,,,34,1,1764.1000000238419,224,-256,200958.69999992847,7001,FN,A,186403,,,,24,192,320,-224
