acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
1,prac,1,1,,-310,-214.5,Thu Aug 29 2024 17:08:03 GMT-0500 (Central Daylight Time),-224,-192,75455.89999997616,CFD-BM-250-170-N.jpg,Sam,64,O,1,2198,,2198,,,1,1,3216.5,-416,-256,72239.39999997616,7012,FN,C,,61501,,,1,192,-320,-224
2,prac,1,1,,320,-3.5,Thu Aug 29 2024 17:08:03 GMT-0500 (Central Daylight Time),416,32,77871.89999997616,CFD-WM-255-219-N.jpg,John,64,O,1,1389,,1389,,,2,1,2403.300000011921,224,-32,75468.59999996424,7012,FN,C,,64718,,,2,192,320,0
3,prac,1,1,,-273,225.5,Thu Aug 29 2024 17:08:03 GMT-0500 (Central Daylight Time),-224,256,80120.89999997616,CFD-LF-208-127-N.jpg,Tina,64,O,1,1229,,1229,,,3,1,2241.699999988079,-416,192,77879.19999998808,7012,FN,C,,67133,,,3,192,-320,224
4,prac,1,1,,325,-228.5,Thu Aug 29 2024 17:08:03 GMT-0500 (Central Daylight Time),416,-192,82569.89999997616,CFD-BM-250-170-N.jpg,Sam,64,O,1,1420,,1420,,,4,1,2442.0,224,-256,80127.89999997616,7012,FN,C,,69383,,,4,192,320,-224
5,prac,1,1,,-331,4.5,Thu Aug 29 2024 17:08:03 GMT-0500 (Central Daylight Time),-224,32,84719.0,CFD-WM-255-219-N.jpg,John,64,O,1,1131,,1131,,,5,1,2141.699999988079,-416,-32,82577.30000001192,7012,FN,C,,71832,,,5,192,-320,0
6,prac,1,1,,316,216.5,Thu Aug 29 2024 17:08:03 GMT-0500 (Central Daylight Time),416,256,86868.80000001192,CFD-LF-208-127-N.jpg,Tina,64,O,1,1114,,1114,,,6,1,2143.7000000476837,224,192,84725.09999996424,7012,FN,C,,73992,,,6,192,320,224
1,prac_test,1,1,z,316,216.5,Thu Aug 29 2024 17:08:03 GMT-0500 (Central Daylight Time),416,256,117792.09999996424,CFD-LF-208-127-N.jpg,Tina,64,O,z,2609,,,2609,,3,1,4409.699999988079,224,192,113382.39999997616,7012,FN,C,,,102639,,1,192,320,224
1,prac_test,1,0,m,316,216.5,Thu Aug 29 2024 17:08:03 GMT-0500 (Central Daylight Time),416,256,122842.30000001192,CFD-BM-250-170-N.jpg,John,64,O,None,4015,,,4015,,2,1,5023.900000035763,224,192,117818.39999997616,7012,FN,C,,,107070,,2,192,320,224
2,prac_test,1,1,m,316,216.5,Thu Aug 29 2024 17:08:03 GMT-0500 (Central Daylight Time),416,256,127821.89999997616,CFD-WM-255-219-N.jpg,Sam,64,O,m,3162,,,3162,,1,1,4950.0,224,192,122871.89999997616,7012,FN,C,,,112134,,3,192,320,224
1,learn,1,1,,-355,-228.5,Thu Aug 29 2024 17:08:03 GMT-0500 (Central Daylight Time),-224,-192,159661.30000001192,CFD-BM-239-136-N.jpg,Mark,64,O,1,1255,1255,,,,1,1,2275.300000011921,-416,-256,157386.0,7012,FN,C,146641,,,,1,192,-320,-224
