acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Thu Sep 26 2024 17:00:16 GMT-0500 (Central Daylight Time),-224,-192,81922.19999999925,CFD-BM-224-073-N.jpg,Sam,64,O,None,3015,,3015,,,1,1,4033.0,-416,-256,77889.19999999925,9999,FN,B,,66131,,,1,192,-320,-224
1,prac,1,1,,323.0,-7.0,Thu Sep 26 2024 17:00:16 GMT-0500 (Central Daylight Time),416,32,86054.29999999981,CFD-WM-227-099-N.jpg,John,64,O,1,1075,,1075,,,2,1,2095.4000000003725,224,-32,83958.89999999944,9999,FN,B,,72196,,,2,192,320,0
2,prac,1,1,,-309.0,224.0,Thu Sep 26 2024 17:00:16 GMT-0500 (Central Daylight Time),-224,256,88253.59999999963,CFD-LF-232-199-N.jpg,Tina,64,O,1,1176,,1176,,,3,1,2196.7999999998137,-416,192,86056.79999999981,9999,FN,B,,74295,,,3,192,-320,224
2,prac,1,0,,173.0,-261.0,Thu Sep 26 2024 17:00:16 GMT-0500 (Central Daylight Time),416,-192,90686.09999999963,CFD-BM-224-073-N.jpg,Sam,64,O,1,1400,,1400,,,4,1,2430.5,224,-256,88255.59999999963,9999,FN,B,,76494,,,4,192,320,-224
3,prac,1,1,,-350.0,-7.0,Thu Sep 26 2024 17:00:16 GMT-0500 (Central Daylight Time),-224,32,95217.89999999944,CFD-WM-227-099-N.jpg,John,64,O,1,1488,,1488,,,5,1,2513.7999999998137,-416,-32,92704.09999999963,9999,FN,B,,80943,,,5,192,-320,0
4,prac,1,1,,359.0,212.0,Thu Sep 26 2024 17:00:16 GMT-0500 (Central Daylight Time),416,256,97250.69999999925,CFD-LF-232-199-N.jpg,Tina,64,O,1,1002,,1002,,,6,1,2030.8999999994412,224,192,95219.79999999981,9999,FN,B,,83460,,,6,192,320,224
0,prac_test,1,0,m,359.0,212.0,Thu Sep 26 2024 17:00:16 GMT-0500 (Central Daylight Time),416,256,130340.5,CFD-WM-227-099-N.jpg,Sam,64,O,z,1950,,,1950,,1,1,3735.4000000003725,224,192,126605.09999999963,9999,FN,B,,,114832,,1,192,320,224
0,prac_test,1,0,m,359.0,212.0,Thu Sep 26 2024 17:00:16 GMT-0500 (Central Daylight Time),416,256,132706.09999999963,CFD-BM-224-073-N.jpg,John,64,O,z,568,,,568,,2,1,2358.0999999996275,224,192,130348.0,9999,FN,B,,,118582,,2,192,320,224
0,prac_test,1,0,z,359.0,212.0,Thu Sep 26 2024 17:00:16 GMT-0500 (Central Daylight Time),416,256,134755.59999999963,CFD-LF-232-199-N.jpg,Tina,64,O,m,259,,,259,,3,1,2041.5,224,192,132714.09999999963,9999,FN,B,,,120947,,3,192,320,224
1,learn,1,1,,-353.0,221.0,Thu Sep 26 2024 17:00:16 GMT-0500 (Central Daylight Time),-224,256,167928.69999999925,CFD-LM-243-075-N.jpg,Robert,64,O,1,1722,1722,,,,39,1,2747.5,-416,192,165181.19999999925,9999,FN,B,153421,,,,1,192,-320,224
